"ID"	"R2.D10"	"R2.D21"
"a100080"	1.4041630234872e-07	2.20891364097374e-07
"a100787"	1.21048536507517e-07	9.66399717926012e-08
"a101077"	3.38935902221047e-08	5.98247444430389e-08
"a10111"	4.35774731427061e-09	4.14171307682577e-09
"a101278"	7.26291219045102e-08	3.22133239308671e-08
"a101455"	2.42097073015034e-08	2.76114205121718e-08
"a101548"	8.23130048251115e-08	1.51862812816945e-07
"a101630"	9.19968877457129e-08	2.53104688028241e-07
"a101829"	3.87355316824054e-08	2.2549326751607e-07
"a102100"	3.82513375363754e-06	3.93002551956578e-06
"a102172"	7.26291219045102e-08	2.02483750422593e-07
"a102371"	7.74710633648108e-08	1.15047585467382e-07
"a103028"	9.68388292060135e-09	1.38057102560859e-07
"a103776"	5.81032975236081e-08	1.15047585467382e-07
"a10409"	5.81032975236081e-08	2.07085653841288e-07
"a104229"	9.68388292060135e-09	4.14171307682577e-09
"a104241"	9.68388292060135e-09	4.14171307682577e-09
"a10443"	9.19968877457129e-08	3.58948466658233e-07
"a104527"	9.68388292060135e-09	2.30095170934765e-08
"a104650"	1.83993775491426e-07	1.5646471623564e-07
"a104742"	3.53461726601949e-07	6.44266478617342e-07
"a104824"	5.81032975236081e-08	5.98247444430389e-08
"a104837"	7.74710633648108e-08	6.90285512804295e-08
"a105417"	1.69467951110524e-07	2.30095170934765e-07
"a105484"	2.42097073015034e-08	2.76114205121718e-08
"a10584"	8.71549462854122e-08	1.79474233329117e-07
"a105900"	9.68388292060136e-08	6.90285512804295e-08
"a106198"	9.2965276037773e-07	1.21490250253556e-06
"a106577"	7.26291219045102e-08	1.28853295723468e-07
"a106897"	7.26291219045102e-08	6.44266478617342e-08
"a107384"	2.51780955935635e-07	2.2549326751607e-07
"a107739"	7.74710633648108e-08	2.85318011959108e-07
"a107859"	1.32669196012239e-06	1.61066619654335e-06
"a107951"	1.22501118945607e-06	1.21030059911686e-06
"a108251"	8.23130048251115e-08	1.42659005979554e-07
"a108613"	1.11364653586916e-07	1.51862812816945e-07
"a108760"	7.74710633648108e-08	1.42659005979554e-07
"a108939"	7.74710633648108e-08	1.65668523073031e-07
"a108995"	3.24410077840145e-07	2.80716108540413e-07
"a109608"	4.35774731427061e-09	1.84076136747812e-08
"a109773"	4.35774731427061e-09	2.76114205121718e-08
"a109923"	1.4041630234872e-07	2.43900881190851e-07
"a11015"	3.63145609522551e-07	4.04967500845186e-07
"a110476"	5.81032975236081e-08	1.10445682048687e-07
"a110575"	1.54942126729622e-07	2.57706591446937e-07
"a111282"	2.27571248634132e-07	3.49744659820843e-07
"a111669"	6.77871804442095e-08	1.70270426491726e-07
"a112166"	2.66306780316537e-07	4.78597955544311e-07
"a112736"	2.42097073015034e-08	2.76114205121718e-08
"a113731"	1.93677658412027e-08	1.38057102560859e-08
"a11473"	8.71549462854122e-08	1.4726090939825e-07
"a114806"	9.68388292060136e-08	1.05843778629992e-07
"a115311"	4.84194146030068e-08	4.6019034186953e-08
"a115437"	6.77871804442095e-08	6.44266478617342e-08
"a11594"	1.98519599872328e-07	2.53104688028241e-07
"a116413"	4.84194146030068e-09	3.68152273495624e-08
"a116555"	1.93677658412027e-08	9.66399717926012e-08
"a116629"	9.68388292060135e-09	4.14171307682577e-09
"a117114"	4.84194146030068e-08	9.2038068373906e-08
"a117215"	1.79151834031125e-07	2.57706591446937e-07
"a117583"	9.19968877457129e-08	7.82323581178201e-08
"a11760"	1.93677658412027e-07	3.17531335889976e-07
"a117866"	3.92197258284355e-07	3.86559887170405e-07
"a118288"	1.16206595047216e-07	1.28853295723468e-07
"a118389"	1.25890477967818e-07	1.01241875211297e-07
"a118846"	4.35774731427061e-08	1.84076136747812e-08
"a120052"	1.4041630234872e-06	1.60606429312466e-06
"a120392"	9.68388292060135e-09	5.06209376056483e-08
"a121548"	4.84194146030068e-09	4.14171307682577e-08
"a122654"	5.81032975236081e-08	7.82323581178201e-08
"a123"	4.84194146030068e-07	8.92769263226888e-07
"a123999"	3.00200370538642e-06	3.14310003496889e-06
"a124038"	5.81032975236081e-08	7.36304546991248e-08
"a124384"	2.90516487618041e-08	5.52228410243436e-08
"a125225"	1.64626009650223e-07	2.71512301703023e-07
"a1254"	3.38935902221047e-08	4.6019034186953e-08
"a125497"	4.35774731427061e-08	3.68152273495624e-08
"a125838"	4.84194146030068e-08	5.98247444430389e-08
"a126646"	3.87355316824054e-08	1.05843778629992e-07
"a126783"	7.55342867806906e-07	6.30460768361256e-07
"a126877"	5.03561911871271e-07	3.22133239308671e-07
"a127315"	7.26291219045102e-08	1.19649488886078e-07
"a12735"	9.19968877457129e-08	5.52228410243436e-08
"a128241"	1.93677658412027e-08	6.44266478617342e-08
"a128985"	4.35774731427061e-08	2.76114205121718e-08
"a129194"	1.4041630234872e-07	1.05843778629992e-07
"a129223"	9.19968877457129e-08	1.01241875211297e-07
"a129258"	1.93677658412027e-08	4.6019034186953e-08
"a130027"	1.35574360888419e-07	2.48502784609546e-07
"a13003"	8.71549462854122e-08	1.05843778629992e-07
"a130083"	3.73797880735212e-06	3.82418174093579e-06
"a130099"	4.84194146030068e-09	4.14171307682577e-09
"a13039"	4.84194146030068e-08	1.84076136747812e-08
"a130469"	6.77871804442095e-08	4.14171307682577e-08
"a130606"	1.85930552075546e-06	1.78553852645378e-06
"a130656"	4.35774731427061e-08	6.44266478617342e-08
"a13089"	6.29452389839088e-08	1.70270426491726e-07
"a131071"	8.71549462854122e-08	1.5646471623564e-07
"a131358"	1.4525824380902e-08	1.38057102560859e-08
"a131546"	9.68388292060135e-09	9.2038068373906e-09
"a131719"	4.84194146030068e-08	7.82323581178201e-08
"a132079"	7.40817043426004e-07	1.24251392304773e-06
"a132487"	9.68388292060135e-09	5.06209376056483e-08
"a132807"	7.8439451656871e-07	8.37546422202544e-07
"a132828"	2.37255131554733e-07	5.84441734174303e-07
"a132888"	1.16206595047216e-07	1.88678040166507e-07
"a133441"	9.19968877457129e-08	1.01241875211297e-07
"a133476"	4.35774731427061e-08	2.30095170934765e-08
"a133812"	1.93677658412027e-08	6.90285512804295e-08
"a134466"	1.93677658412027e-08	7.36304546991248e-08
"a135248"	5.32613560633075e-08	1.24251392304773e-07
"a135846"	1.4525824380902e-08	6.44266478617342e-08
"a136279"	3.87355316824054e-08	3.22133239308671e-08
"a136572"	2.61464838856237e-07	2.48502784609546e-07
"a136995"	4.35774731427061e-09	4.14171307682577e-09
"a137700"	1.15238206755156e-06	2.11227366918114e-06
"a137838"	5.81032975236081e-08	1.24251392304773e-07
"a137991"	4.84194146030068e-08	6.44266478617342e-08
"a138212"	9.68388292060135e-09	5.06209376056483e-08
"a138246"	4.84194146030068e-08	1.84076136747812e-07
"a139174"	8.23130048251115e-08	4.6019034186953e-09
"a139358"	1.30732419428118e-07	2.71512301703023e-07
"a139429"	7.74710633648108e-08	1.5646471623564e-07
"a139647"	6.29452389839088e-08	9.2038068373906e-08
"a139989"	4.84194146030068e-09	8.28342615365154e-08
"a140262"	3.38935902221047e-08	3.68152273495624e-08
"a140766"	2.51780955935635e-07	2.3469707435346e-07
"a140798"	7.26291219045102e-08	1.19649488886078e-07
"a141600"	7.74710633648108e-08	8.74361649552107e-08
"a141868"	5.32613560633075e-08	6.44266478617342e-08
"a142179"	8.71549462854122e-08	4.6019034186953e-08
"a142317"	4.35774731427061e-08	8.74361649552107e-08
"a14235"	1.59784068189922e-07	3.49744659820843e-07
"a143441"	4.35774731427061e-09	4.14171307682577e-09
"a143801"	1.93677658412027e-08	1.38057102560859e-08
"a143870"	4.35774731427061e-09	2.76114205121718e-08
"a1440"	1.72857310132734e-06	2.06625463499419e-06
"a144250"	2.90516487618041e-08	1.38057102560859e-08
"a144839"	4.2609084850646e-06	4.43623489562227e-06
"a145827"	4.84194146030068e-09	4.6019034186953e-09
"a146973"	1.35574360888419e-07	1.88678040166507e-07
"a148139"	2.47423208621365e-06	2.24572886832331e-06
"a148357"	1.21048536507517e-07	1.33455199142164e-07
"a14846"	1.93677658412027e-08	6.44266478617342e-08
"a148747"	4.35774731427061e-09	4.14171307682577e-09
"a148854"	5.81032975236081e-08	1.33455199142164e-07
"a149390"	9.73230233520436e-07	8.88167359808192e-07
"a149721"	3.87355316824054e-08	7.82323581178201e-08
"a149867"	1.64626009650223e-07	2.94521818796499e-07
"a149891"	9.19968877457129e-08	4.09569404263881e-07
"a149996"	4.84194146030068e-08	2.30095170934765e-08
"a150016"	1.01680770666314e-07	1.01241875211297e-07
"a150458"	4.35774731427061e-09	9.66399717926012e-08
"a150853"	1.69467951110524e-07	3.95763694007796e-07
"a150900"	4.35774731427061e-08	4.6019034186953e-08
"a151120"	1.64626009650223e-07	3.40540852983452e-07
"a151409"	1.4041630234872e-07	3.17531335889976e-07
"a152149"	4.35774731427061e-08	8.28342615365154e-08
"a152245"	1.35574360888419e-07	1.84076136747812e-07
"a152359"	4.84194146030068e-09	3.22133239308671e-08
"a152398"	1.74309892570824e-07	2.99123722215194e-07
"a152510"	1.4041630234872e-07	2.71512301703023e-07
"a153594"	2.90516487618041e-07	4.6019034186953e-07
"a15389"	1.34121778450329e-06	1.30233866749077e-06
"a153912"	1.93677658412027e-07	3.35938949564757e-07
"a154623"	4.79352204569767e-07	3.63550370076929e-07
"a154975"	6.29452389839088e-08	2.76114205121718e-08
"a1550"	2.42097073015034e-08	5.06209376056483e-08
"a156371"	3.87355316824054e-08	9.2038068373906e-08
"a156691"	5.81032975236081e-08	8.28342615365154e-08
"a156744"	1.4525824380902e-08	3.68152273495624e-08
"a156942"	4.35774731427061e-08	4.14171307682577e-08
"a157399"	1.4525824380902e-08	1.38057102560859e-08
"a158000"	9.68388292060135e-09	1.38057102560859e-08
"a158714"	5.81032975236081e-08	8.74361649552107e-08
"a158720"	4.35774731427061e-09	4.14171307682577e-09
"a158803"	1.01680770666314e-07	4.6019034186953e-08
"a158925"	3.32157184176626e-06	2.94982009138369e-06
"a159367"	1.35574360888419e-07	2.85318011959108e-07
"a159510"	4.84194146030068e-09	9.66399717926012e-08
