"ID"	"R3.D10"	"R3.D21"
"a100074"	1.17107490086279e-07	5.06101439618703e-07
"a10074"	1.39628161256717e-07	4.17027586245811e-07
"a101061"	3.15289396386135e-08	2.87465617703423e-07
"a101174"	5.85537450431393e-08	6.4780984271194e-08
"a101411"	9.00826846817528e-08	5.66833612372947e-08
"a101455"	1.35124027022629e-08	7.28786073050932e-08
"a101683"	3.28801799088398e-07	5.50638366305149e-07
"a101687"	3.91859678365625e-07	7.00444392432285e-07
"a101731"	5.40496108090517e-08	1.29561968542388e-07
"a102317"	2.25206711704382e-07	3.11758486805121e-07
"a102611"	4.50413423408764e-08	2.1863582191528e-07
"a103035"	1.75661235129418e-07	4.12978774728862e-07
"a103042"	7.02644940517672e-07	8.6644566462722e-07
"a103277"	4.63925826111027e-07	5.87077669957696e-07
"a103324"	4.05372081067887e-08	2.83416806186474e-07
"a10338"	9.00826846817528e-09	2.83416806186474e-08
"a10353"	1.80165369363506e-08	1.90294141296632e-07
"a103898"	4.05372081067887e-09	1.70050083711884e-07
"a104102"	4.05372081067887e-08	3.96783528661063e-07
"a104202"	4.05372081067887e-09	3.64393036525466e-09
"a104204"	1.62148832427155e-07	2.59123937084776e-07
"a104241"	1.80165369363506e-08	5.26345497203451e-08
"a104611"	4.008679468338e-07	4.77759759000056e-07
"a104650"	1.5314056395898e-07	3.68441848042416e-07
"a104867"	9.9090953149928e-08	3.76539471076315e-07
"a104892"	7.02644940517672e-07	1.19439939750014e-06
"a104914"	4.05372081067887e-09	2.42928691016977e-08
"a104963"	1.35124027022629e-08	2.42928691016977e-08
"a104988"	4.50413423408764e-08	1.49806026127136e-07
"a106322"	2.07190174768031e-07	6.27565785127192e-07
"a106445"	7.20661477454022e-08	9.31226648898413e-08
"a106481"	4.9545476574964e-08	6.07321727542444e-08
"a106549"	4.05372081067887e-08	9.31226648898413e-08
"a106711"	1.35124027022629e-08	1.82196518262733e-07
"a106875"	6.30578792772269e-07	9.23129025864514e-07
"a106934"	2.43223248640732e-06	2.92324191523763e-06
"a107111"	3.60330738727011e-08	2.06489387364431e-07
"a107400"	4.50413423408764e-08	8.09762303389925e-09
"a107439"	2.34214980172557e-07	4.93955005067854e-07
"a107577"	2.74752188279346e-07	3.68441848042416e-07
"a107832"	2.56735651342995e-07	4.65613324449207e-07
"a108105"	2.74752188279346e-07	1.14986247081369e-06
"a108606"	4.05372081067887e-08	2.95563240737323e-07
"a108856"	5.40496108090517e-08	1.86245329779683e-07
"a108996"	6.75620135113146e-08	3.96783528661063e-07
"a109028"	5.23830811424392e-06	6.08131489845834e-06
"a109041"	5.26983705388254e-07	1.22678988963574e-06
"a109063"	4.05372081067887e-08	1.53854837644086e-07
"a109367"	1.12603355852191e-07	2.71270371635625e-07
"a109877"	7.2516561168811e-07	1.23083870115269e-06
"a110019"	4.50413423408764e-09	7.69274188220429e-08
"a110144"	3.60330738727011e-08	9.31226648898413e-08
"a11015"	4.32396886472413e-07	5.02052628101753e-07
"a110245"	5.17975436920078e-07	4.08929963211912e-07
"a110387"	3.55826604492923e-07	3.40100167423768e-07
"a110482"	4.50413423408764e-09	7.28786073050932e-08
"a111109"	1.7115710089533e-07	2.06489387364431e-07
"a111397"	2.70248054045258e-08	4.04881151694962e-09
"a111402"	5.40496108090517e-08	2.1053819888138e-07
"a111853"	5.85537450431393e-08	3.52246601974617e-07
"a112631"	4.05372081067887e-09	1.21464345508489e-08
"a112662"	1.21611624320366e-06	1.66811034498325e-06
"a112774"	1.48636429724892e-07	8.90738533728917e-08
"a113016"	1.35124027022629e-08	2.83416806186474e-08
"a113185"	3.2790097224158e-06	4.44559504561069e-06
"a113278"	5.85537450431393e-08	3.15807298322071e-07
"a11336"	4.05372081067887e-09	3.64393036525466e-09
"a113367"	4.9545476574964e-08	3.80588282593265e-07
"a113606"	5.35991973856429e-07	6.59956277262789e-07
"a114204"	5.99049853133656e-07	7.40932507601781e-07
"a114378"	9.77397128797017e-07	1.05673980592385e-06
"a11526"	5.85537450431393e-08	2.42928691016977e-07
"a115834"	2.61239785577083e-07	5.62784800855998e-07
"a115951"	1.98181906299856e-07	2.30782256466129e-07
"a116075"	6.71116000879058e-07	1.31586374300863e-06
"a116604"	4.50413423408764e-09	1.45757214610186e-07
"a116637"	4.05372081067887e-08	1.0931791095764e-07
"a116751"	2.43223248640732e-07	8.74543287661119e-07
"a116859"	1.17107490086279e-07	1.13366722474589e-07
"a117483"	1.17107490086279e-07	4.00832340178013e-07
"a117554"	5.26983705388254e-07	6.4780984271194e-07
"a117625"	4.05372081067887e-08	7.28786073050932e-08
"a117727"	6.57603598176795e-07	1.0364957483391e-06
"a117808"	2.70248054045258e-08	1.0526909944069e-07
"a118064"	8.55785504476651e-08	2.30782256466129e-07
"a118276"	1.12603355852191e-07	2.95563240737323e-07
"a118303"	5.59413471873685e-06	5.29179665265316e-06
"a118470"	1.80165369363506e-08	5.66833612372947e-08
"a118618"	7.65702819794898e-08	2.02440575847481e-07
"a119261"	2.25206711704382e-08	1.0931791095764e-07
"a119819"	2.56735651342995e-07	5.58735989339048e-07
"a12001"	1.35124027022629e-08	9.7171476406791e-08
"a120191"	1.26115758554454e-07	1.49806026127136e-07
"a120216"	5.85537450431393e-08	3.2390492135597e-07
