"ID"	"R2.D10"	"R2.D21"
"a100078"	8.71549462854122e-08	6.44266478617342e-08
"a100080"	1.4041630234872e-07	2.20891364097374e-07
"a100117"	4.11565024125558e-07	1.70270426491726e-07
"a100203"	3.38935902221047e-08	4.6019034186953e-09
"a100228"	1.35574360888419e-07	1.38057102560859e-08
"a100273"	1.79151834031125e-07	1.10445682048687e-07
"a100529"	2.62433227148297e-06	2.43900881190851e-06
"a100551"	2.1304542425323e-07	1.19649488886078e-07
"a100774"	1.50100185269321e-07	3.68152273495624e-08
"a100785"	2.61464838856237e-07	1.51862812816945e-07
"a100787"	1.21048536507517e-07	9.66399717926012e-08
"a1008"	7.74710633648108e-08	3.22133239308671e-08
"a100802"	2.66306780316537e-07	1.01241875211297e-07
"a100812"	1.21048536507517e-07	4.14171307682577e-08
"a100880"	7.8294193413062e-06	7.0455141340225e-06
"a100894"	2.42097073015034e-08	4.14171307682577e-09
"a1010"	2.34349966678553e-06	1.98802227687637e-06
"a101085"	2.46939014475335e-07	1.28853295723468e-07
"a10111"	4.35774731427061e-09	4.14171307682577e-09
"a101199"	9.24810818917429e-07	3.95763694007796e-07
"a101213"	3.24410077840145e-07	9.66399717926012e-08
"a101278"	7.26291219045102e-08	3.22133239308671e-08
"a101347"	2.27571248634132e-07	1.42659005979554e-07
"a101455"	2.42097073015034e-08	2.76114205121718e-08
"a101550"	4.84194146030068e-07	2.02483750422593e-07
"a101592"	1.16206595047216e-07	2.76114205121718e-08
"a101634"	2.90516487618041e-07	7.82323581178201e-08
"a101742"	1.54942126729622e-07	6.44266478617342e-08
"a101776"	1.83993775491426e-06	1.28853295723468e-06
"a10188"	2.56622897395936e-07	9.66399717926012e-08
"a102035"	1.25890477967818e-07	3.22133239308671e-08
"a102040"	2.08203482792929e-07	9.66399717926012e-08
"a102053"	8.23130048251115e-08	1.84076136747812e-08
"a102100"	3.82513375363754e-06	3.93002551956578e-06
"a102108"	1.01680770666314e-07	6.44266478617342e-08
"a102327"	3.19568136379845e-07	1.51862812816945e-07
"a102370"	3.34093960760747e-07	9.2038068373906e-08
"a102674"	1.18627565777367e-06	6.21256961523865e-07
"a102710"	1.93677658412027e-08	4.6019034186953e-09
"a102840"	1.4525824380902e-07	1.38057102560859e-08
"a10295"	6.29452389839088e-08	4.6019034186953e-09
"a103316"	1.88835716951726e-07	4.14171307682577e-08
"a103390"	8.23130048251115e-08	4.6019034186953e-09
"a103451"	2.1304542425323e-07	5.06209376056483e-08
"a103604"	1.61236650628013e-06	1.28393105381599e-06
"a103676"	8.23130048251115e-08	5.98247444430389e-08
"a103718"	1.59784068189922e-07	2.76114205121718e-08
"a103740"	4.59984438728564e-07	2.89919915377804e-07
"a103852"	5.13245794791872e-07	2.66910398284327e-07
"a10388"	9.2965276037773e-07	6.9488741622299e-07
"a104087"	1.59784068189922e-07	5.06209376056483e-08
"a104229"	9.68388292060135e-09	4.14171307682577e-09
"a104241"	9.68388292060135e-09	4.14171307682577e-09
"a104312"	3.21020718817935e-06	2.85778202300978e-06
"a104348"	1.54942126729622e-07	3.68152273495624e-08
"a104584"	8.32813931171717e-07	5.43024603406045e-07
"a104629"	4.3093278996676e-07	2.20891364097374e-07
"a104650"	1.83993775491426e-07	1.5646471623564e-07
"a104709"	1.11364653586916e-07	5.52228410243436e-08
"a104745"	9.68388292060136e-08	3.22133239308671e-08
"a104764"	3.05042311998943e-07	2.20891364097374e-07
"a104824"	5.81032975236081e-08	5.98247444430389e-08
"a104837"	7.74710633648108e-08	6.90285512804295e-08
"a104988"	1.11364653586916e-07	4.14171307682577e-08
"a105030"	3.34093960760747e-07	1.5646471623564e-07
"a105197"	1.11364653586916e-07	2.76114205121718e-08
"a105238"	4.59984438728564e-07	2.66910398284327e-07
"a105349"	2.03361541332628e-07	1.84076136747812e-08
"a105377"	6.63345980061193e-07	4.73996052125616e-07
"a105484"	2.42097073015034e-08	2.76114205121718e-08
"a105516"	3.14726194919544e-07	8.28342615365154e-08
"a105526"	5.81032975236081e-08	4.6019034186953e-09
"a105555"	5.81032975236081e-08	2.30095170934765e-08
"a105571"	6.74482445419884e-06	6.05150299558432e-06
"a105682"	2.27571248634132e-07	5.98247444430389e-08
"a105792"	4.35774731427061e-08	4.14171307682577e-09
"a105793"	9.68388292060136e-08	3.22133239308671e-08
"a105819"	3.52009144163859e-06	2.97282960847716e-06
"a105900"	9.68388292060136e-08	6.90285512804295e-08
"a105914"	2.22729307173831e-07	1.28853295723468e-07
"a105935"	2.42097073015034e-07	1.10445682048687e-07
"a105940"	2.90516487618041e-08	4.14171307682577e-09
"a106165"	3.14726194919544e-07	2.30095170934765e-07
"a106316"	1.93677658412027e-08	9.2038068373906e-09
"a106343"	7.26291219045102e-08	9.2038068373906e-09
"a106434"	3.65566580252701e-06	2.8347725059163e-06
"a106549"	8.23130048251115e-08	4.14171307682577e-08
"a106585"	1.79151834031125e-07	4.6019034186953e-08
"a106717"	5.76191033775781e-07	2.30095170934765e-07
"a106757"	3.29252019300446e-07	2.30095170934765e-08
"a106897"	7.26291219045102e-08	6.44266478617342e-08
"a10696"	1.50100185269321e-07	5.06209376056483e-08
"a106978"	1.35574360888419e-07	4.6019034186953e-08
"a107006"	4.84194146030068e-07	3.35938949564757e-07
"a107023"	8.71549462854122e-08	3.22133239308671e-08
"a107074"	3.29252019300446e-07	8.74361649552107e-08
"a107250"	3.10368447605273e-06	2.32396122644113e-06
"a107273"	1.93677658412027e-07	9.2038068373906e-08
"a1073"	4.35774731427061e-08	9.2038068373906e-09
"a107324"	5.13245794791872e-07	2.30095170934765e-07
"a107384"	2.51780955935635e-07	2.2549326751607e-07
"a107402"	8.66707521393821e-07	5.24616989731264e-07
"a107425"	8.71549462854122e-08	5.98247444430389e-08
"a107442"	3.67987550982852e-07	1.61066619654335e-07
"a107577"	3.72829492443152e-07	2.39298977772155e-07
"a107666"	5.27771619172774e-07	3.22133239308671e-07
"a107697"	8.71549462854122e-08	3.68152273495624e-08
"a107741"	1.30732419428118e-07	8.74361649552107e-08
"a107850"	1.13785624317066e-06	9.89409235019489e-07
"a107951"	1.22501118945607e-06	1.21030059911686e-06
