"ID"	"R1.D10"	"R1.D21"
"a100087"	2.88754166328591e-07	9.03367104372051e-08
"a100132"	3.08264582972415e-07	6.18093281938772e-08
"a100699"	1.49839999824566e-06	1.08404052524646e-06
"a101103"	1.5608333315059e-07	4.75456370722132e-08
"a101292"	1.4827916649306e-07	5.70547644866559e-08
"a101377"	8.19437499040596e-08	4.27910733649919e-09
"a101738"	1.36572916506766e-07	4.75456370722132e-09
"a101975"	2.20077499742331e-06	1.16962267197644e-06
"a10208"	1.67789583136884e-07	4.75456370722132e-09
"a102371"	1.95104166438237e-07	6.18093281938772e-08
"a102533"	8.58458332328243e-08	4.27910733649919e-09
"a102799"	1.67789583136884e-07	1.4263691121664e-08
"a102801"	2.69243749684767e-07	4.75456370722132e-08
"a102970"	6.55549999232476e-07	1.18864092680533e-07
"a103092"	8.66262498985772e-07	2.23464494239402e-07
"a103124"	4.01914582862768e-07	8.55821467299838e-08
"a103161"	4.68249999451769e-08	4.27910733649919e-09
"a103399"	5.89214582643476e-07	2.13955366824959e-07
"a103444"	1.75593749794413e-07	4.27910733649919e-08
"a103639"	4.01914582862768e-07	2.23464494239402e-07
"a103699"	1.75593749794413e-07	4.27910733649919e-08
"a103897"	1.24866666520472e-07	3.80365096577706e-08
"a1040"	5.46291666027064e-07	1.18864092680533e-07
"a104202"	7.80416665752948e-09	4.27910733649919e-09
"a104204"	2.49733333040943e-07	1.04600401558869e-07
"a104767"	3.12166666301179e-08	4.27910733649919e-09
"a104988"	1.09258333205413e-07	3.32819459505492e-08
"a105476"	7.41395832465301e-08	9.50912741444264e-09
"a10584"	2.34124999725884e-07	9.50912741444264e-08
"a105907"	5.85312499314711e-08	4.27910733649919e-09
"a105914"	3.23872916287473e-07	1.47391474923861e-07
"a106113"	3.55089582917591e-07	1.85427984581632e-07
"a106248"	2.88754166328591e-07	6.18093281938772e-08
"a106445"	2.77047916342297e-07	3.80365096577706e-08
"a106623"	2.02908333095767e-07	1.4263691121664e-08
"a106711"	1.13160416534177e-07	4.27910733649919e-09
"a106757"	5.85312499314711e-08	5.70547644866559e-08
"a106883"	2.38027083054649e-07	4.75456370722132e-09
"a106900"	2.2241874973959e-07	4.75456370722132e-08
"a106999"	5.46291666027064e-08	9.50912741444264e-09
"a107053"	1.13160416534177e-07	4.75456370722132e-09
"a107209"	4.48739582807945e-07	1.75918857167189e-07
"a107400"	7.80416665752948e-08	4.27910733649919e-09
"a107739"	2.3022291639712e-07	3.32819459505492e-08
"a107793"	1.52181249821825e-07	1.90182548288853e-08
"a10799"	4.79956249438063e-07	7.13184556083198e-08
"a108022"	6.12627082616064e-07	1.47391474923861e-07
"a108027"	2.61439583027238e-07	5.70547644866559e-08
"a108152"	1.5608333315059e-07	2.85273822433279e-08
"a108407"	1.42035833167037e-06	8.17784957642067e-07
"a108529"	3.62893749575121e-07	1.71164293459968e-07
"a108727"	4.29229166164122e-08	4.75456370722132e-09
"a108939"	3.94110416205239e-07	8.55821467299838e-08
"a109063"	2.26320833068355e-07	3.32819459505492e-08
"a109170"	1.32670833178001e-07	9.50912741444264e-09
"a10919"	2.52854999703955e-06	1.68787011606357e-06
"a109980"	2.06810416424531e-07	2.37728185361066e-08
"a110245"	6.90668749191359e-07	3.32819459505492e-07
"a110482"	9.75520832191185e-08	4.75456370722132e-09
"a110624"	1.32670833178001e-07	3.32819459505492e-08
"a110700"	1.5608333315059e-07	9.50912741444264e-09
"a111096"	6.28235415931123e-07	1.33127783802197e-07
"a111105"	2.41929166383414e-07	4.75456370722132e-09
"a111402"	1.32670833178001e-07	1.90182548288853e-08
"a111512"	9.36499998903538e-08	1.90182548288853e-08
"a111952"	2.18516666410826e-07	4.75456370722132e-09
"a112642"	5.42389582698299e-07	3.32819459505492e-07
"a112855"	1.44377083164295e-07	3.80365096577706e-08
"a113016"	9.36499998903538e-08	1.4263691121664e-08
"a113239"	3.7069791623265e-07	1.37882347509418e-07
"a113264"	1.67789583136884e-07	2.37728185361066e-08
"a113606"	7.92122915739242e-07	4.08892478821034e-07
"a113889"	5.07270832739416e-08	3.32819459505492e-08
"a1140"	2.26320833068355e-07	9.50912741444264e-09
"a114039"	1.40474999835531e-07	9.50912741444264e-09
"a114182"	1.79495833123178e-07	7.60730193155411e-08
"a114274"	1.10038749871166e-06	3.42328586919935e-07
"a114378"	1.37743541505395e-06	8.84348849543166e-07
"a115311"	1.83397916451943e-07	5.70547644866559e-08
"a11560"	1.13160416534177e-07	4.75456370722132e-09
"a115670"	4.83858332766828e-07	1.99691675703295e-07
"a115951"	3.7069791623265e-07	1.56900602338304e-07
"a116056"	2.02908333095767e-07	4.27910733649919e-08
"a1161"	8.9747916561589e-08	4.75456370722132e-09
"a116354"	2.9655833298612e-07	6.18093281938772e-08
"a116534"	1.58424583147848e-06	8.70085158421502e-07
"a116604"	1.17062499862942e-07	4.27910733649919e-09
"a116629"	1.28768749849236e-07	9.50912741444264e-09
"a116710"	2.26320833068355e-07	3.80365096577706e-08
"a116738"	1.24866666520472e-07	4.27910733649919e-09
"a116752"	6.55549999232476e-07	3.2331033209105e-07
"a116934"	3.0436249964365e-07	7.60730193155411e-08
"a117033"	1.01454166547883e-07	4.75456370722132e-09
"a117095"	2.77047916342297e-07	6.18093281938772e-08
"a117498"	2.60659166361485e-06	1.77820682650077e-06
"a11778"	5.30683332712005e-07	1.0935496526609e-07
"a117830"	4.09718749520298e-07	5.70547644866559e-08
"a118064"	2.06810416424531e-07	6.65638919010985e-08
"a118458"	3.27774999616238e-06	1.75443400796467e-06
"a118576"	7.06277082506418e-07	6.56129791596542e-07
"a118828"	2.65341666356002e-07	2.37728185361066e-08
"a11894"	1.17062499862942e-07	4.75456370722132e-09
"a118968"	5.85312499314711e-08	1.4263691121664e-08
"a11936"	2.77047916342297e-07	2.85273822433279e-08
"a119744"	2.34124999725884e-07	9.50912741444264e-09
"a12001"	7.80416665752948e-08	9.50912741444264e-09
"a12031"	1.13160416534177e-07	3.32819459505492e-08
"a120567"	4.29229166164122e-08	4.75456370722132e-09
"a120662"	1.67789583136884e-07	3.80365096577706e-08
"a120938"	4.68249999451769e-08	9.50912741444264e-09
"a12119"	2.9655833298612e-07	1.4263691121664e-07
"a121315"	1.40474999835531e-07	9.50912741444264e-09
"a121338"	1.44377083164295e-07	1.4263691121664e-08
"a121489"	1.08868124872536e-06	3.99383351406591e-07
"a121871"	1.5608333315059e-06	1.16486810826922e-06
"a121885"	3.62893749575121e-07	8.55821467299838e-08
"a122088"	2.53635416369708e-07	6.18093281938772e-08
"a122130"	8.19437499040596e-08	4.27910733649919e-09
"a122640"	2.39197708053279e-06	1.50719669518916e-06
"a122874"	2.84852082999826e-07	9.03367104372051e-08
"a123211"	7.7690479075706e-06	7.40761025585082e-06
"a123749"	1.01454166547883e-07	1.90182548288853e-08
"a123883"	3.90208332876474e-07	1.14109528973312e-07
"a123999"	3.50016874590197e-06	2.88126560657612e-06
"a124001"	1.95104166438237e-07	4.75456370722132e-08
"a124038"	1.44377083164295e-07	2.37728185361066e-08
"a124085"	1.05356249876648e-07	4.75456370722132e-09
"a124199"	1.75593749794413e-07	5.70547644866559e-08
"a12468"	1.99006249767002e-07	3.32819459505492e-08
"a124939"	4.29229166164122e-08	4.75456370722132e-09
"a124950"	1.17062499862942e-07	4.75456370722132e-08
"a124985"	9.36499998903538e-08	1.4263691121664e-08
"a125158"	1.17062499862942e-07	4.27910733649919e-09
"a125196"	2.73145833013532e-07	9.03367104372051e-08
"a125296"	7.80416665752948e-09	4.75456370722132e-09
"a126099"	1.56005291484014e-05	1.14537439706962e-05
"a126313"	3.51187499588827e-08	4.27910733649919e-09
"a12658"	1.5608333315059e-07	9.50912741444264e-09
"a126724"	5.89214582643476e-07	4.18401606235476e-07
"a127234"	4.13620832849063e-07	6.18093281938772e-08
"a127346"	6.63354165890006e-08	9.50912741444264e-09
"a127725"	1.40474999835531e-07	7.60730193155411e-08
"a127770"	1.59985416479354e-07	4.27910733649919e-08
"a127829"	2.14614583082061e-07	4.75456370722132e-09
"a127931"	1.28768749849236e-07	3.32819459505492e-08
"a12813"	5.93116665972241e-07	8.08275830227625e-08
"a128607"	8.03829165725537e-07	1.75918857167189e-07
"a128621"	7.80416665752948e-08	1.90182548288853e-08
"a128794"	2.61439583027238e-07	4.27910733649919e-08
"a129194"	2.65341666356002e-07	9.03367104372051e-08
"a129207"	8.19437499040596e-08	9.50912741444264e-09
"a129416"	1.59985416479354e-07	4.75456370722132e-09
"a129433"	1.59985416479354e-07	9.50912741444264e-09
"a129658"	4.40935416150416e-07	1.47391474923861e-07
"a129669"	1.28768749849236e-07	4.75456370722132e-09
"a129985"	1.33841458176631e-06	3.85119660284927e-07
"a130107"	1.75593749794413e-07	4.75456370722132e-09
"a130185"	1.40474999835531e-07	1.90182548288853e-08
"a131395"	4.37033332821651e-07	3.80365096577706e-08
"a131629"	5.07270832739416e-08	4.27910733649919e-09
"a131668"	1.95104166438237e-08	4.75456370722132e-09
"a131688"	6.55549999232476e-07	1.71164293459968e-07
"a131897"	5.07270832739416e-08	4.27910733649919e-09
"a132029"	5.22879166054475e-07	6.18093281938772e-08
"a132159"	2.41929166383414e-07	3.80365096577706e-08
"a132293"	6.24333332602359e-08	1.4263691121664e-08
"a132330"	5.85312499314711e-08	4.27910733649919e-09
"a132487"	8.19437499040596e-08	1.4263691121664e-08
"a132663"	2.38027083054649e-07	3.80365096577706e-08
"a132792"	3.51187499588827e-08	9.50912741444264e-09
"a13287"	1.67789583136884e-07	4.27910733649919e-09
"a133000"	1.40474999835531e-07	4.75456370722132e-09
"a133061"	2.65341666356002e-07	5.70547644866559e-08
"a133202"	7.10179165835183e-07	1.52146038631082e-07
"a133251"	4.6590874945451e-06	4.25057995425586e-06
"a133299"	1.32670833178001e-07	9.50912741444264e-09
"a133428"	7.80416665752948e-08	1.4263691121664e-08
"a13370"	1.24866666520472e-07	2.37728185361066e-08
"a133847"	2.34124999725884e-08	4.75456370722132e-09
"a134850"	3.94110416205239e-07	1.14109528973312e-07
"a1349"	3.12166666301179e-07	4.75456370722132e-08
"a13534"	8.58458332328243e-08	4.75456370722132e-09
"a135359"	5.69704165999652e-07	8.55821467299838e-08
"a135393"	1.09258333205413e-07	5.70547644866559e-08
"a13587"	4.79956249438063e-07	8.08275830227625e-08
"a136"	9.36499998903538e-08	9.50912741444264e-09
"a136059"	7.41395832465301e-08	4.75456370722132e-09
"a136251"	2.2241874973959e-07	9.50912741444264e-09
