"ID"	"R1.D10"	"R1.D21"
"a464807"	2.34124999725884e-08	1.18864092680533e-07
"a465107"	3.90208332876474e-08	1.56900602338304e-07
"a4653"	1.67789583136884e-07	3.99383351406591e-07
"a465301"	3.51187499588827e-09	1.33127783802197e-07
"a465324"	1.49839999824566e-06	2.0064258844474e-06
"a465486"	3.12166666301179e-08	2.85273822433279e-08
"a465590"	1.17062499862942e-08	7.60730193155411e-08
"a466383"	3.51187499588827e-07	3.51837714334378e-07
"a466392"	1.5608333315059e-08	9.50912741444264e-09
"a46642"	7.41395832465301e-08	1.8067342087441e-07
"a466537"	2.65341666356002e-07	7.65484756862633e-07
"a466771"	2.38027083054649e-07	5.18247444087124e-07
"a466916"	2.73145833013532e-08	3.80365096577706e-08
"a467064"	3.66795832903886e-07	2.66255567604394e-07
"a467067"	4.29229166164122e-08	4.75456370722132e-08
"a467157"	3.12166666301179e-08	1.61655166045525e-07
"a467591"	1.91202083109472e-07	1.01747663334536e-06
"a467712"	1.95104166438237e-08	1.47391474923861e-07
"a46842"	8.81870832300832e-07	1.5167058226036e-06
"a468450"	1.32670833178001e-07	1.90182548288853e-07
"a468557"	7.06277082506418e-07	1.5167058226036e-06
"a469297"	3.90208332876474e-07	1.12683159861145e-06
"a469801"	2.61439583027238e-07	3.66101405456042e-07
"a469836"	1.13160416534177e-07	1.4263691121664e-07
"a469907"	2.61439583027238e-07	9.08121668079272e-07
"a469990"	1.18233124861572e-06	1.30750501948586e-06
"a470200"	4.5264166613671e-07	4.04137915113812e-07
"a470344"	1.99006249767002e-07	6.56129791596542e-07
"a470432"	5.93116665972241e-07	1.09830421636813e-06
"a470622"	2.73145833013532e-08	1.4263691121664e-07
"a470667"	1.17062499862942e-06	1.47866931294583e-06
"a471077"	1.5608333315059e-08	3.80365096577706e-08
"a471281"	2.18516666410826e-06	2.09200803117738e-06
"a471591"	6.16529165944829e-07	8.03521266520403e-07
"a472072"	7.65198540770766e-06	8.75790634870167e-06
"a472104"	3.90208332876474e-08	2.09200803117738e-07
"a47213"	3.90208332876474e-09	6.18093281938772e-08
"a472513"	1.95104166438237e-07	2.66255567604394e-07
"a472601"	1.5608333315059e-08	5.23002007794345e-08
"a472972"	2.77047916342297e-07	8.41557776178174e-07
"a472987"	3.90208332876474e-08	5.23002007794345e-08
"a47300"	8.03829165725537e-07	8.51066903592616e-07
"a473499"	1.79495833123178e-07	4.61192679600468e-07
"a474050"	5.85312499314711e-08	1.99691675703295e-07
"a474110"	2.34124999725884e-07	3.56592278041599e-07
"a474474"	4.48739582807945e-07	1.75918857167189e-07
"a474591"	7.41395832465301e-06	8.11128568451957e-06
"a474695"	2.7782833300805e-06	3.10473010081552e-06
"a474717"	7.80416665752948e-08	3.66101405456042e-07
"a474761"	1.5608333315059e-07	3.42328586919935e-07
"a47478"	7.41395832465301e-08	2.42482749068287e-07
"a474938"	1.5608333315059e-08	3.32819459505492e-08
"a47548"	1.13160416534177e-07	3.80365096577706e-07
"a47549"	7.41395832465301e-08	2.37728185361066e-08
"a475524"	1.67789583136884e-07	4.75456370722132e-07
"a47559"	3.0436249964365e-07	8.41557776178174e-07
"a4756"	3.51187499588827e-09	7.60730193155411e-08
"a476014"	1.95104166438237e-08	1.85427984581632e-07
"a476622"	3.90208332876474e-09	1.04600401558869e-07
"a476754"	6.63354165890006e-08	3.80365096577706e-08
"a476787"	1.71691666465649e-07	4.75456370722132e-07
"a477033"	7.80416665752948e-09	7.60730193155411e-08
"a477270"	4.25327082835357e-07	7.89257575398739e-07
"a477471"	7.41395832465301e-08	2.94782949847722e-07
"a477706"	2.34124999725884e-08	2.37728185361066e-08
"a477717"	7.02374999177653e-08	4.94474625551017e-07
"a478188"	3.90208332876474e-09	9.50912741444264e-09
"a478330"	3.90208332876474e-09	1.14109528973312e-07
"a478401"	3.12166666301179e-08	8.55821467299838e-08
"a478485"	1.67789583136884e-07	3.42328586919935e-07
"a478595"	2.34124999725884e-08	3.2331033209105e-07
"a478658"	8.11633332383066e-07	1.02223119705258e-06
