"ID"	"R3.D10"	"R3.D21"
"a10011"	2.11694309002119e-07	5.66833612372947e-08
"a100305"	3.51322470258836e-07	8.50250418559421e-08
"a100604"	1.75661235129418e-07	2.42928691016977e-08
"a100698"	2.11694309002119e-07	3.64393036525466e-09
"a101059"	1.35124027022629e-07	7.28786073050932e-08
"a101084"	6.75620135113146e-08	2.02440575847481e-08
"a101264"	5.22479571154166e-07	2.75319183152574e-07
"a101393"	8.55785504476651e-08	3.64393036525466e-09
"a101411"	9.00826846817528e-08	5.66833612372947e-08
"a101444"	1.17107490086279e-07	4.04881151694962e-08
"a10178"	2.56735651342995e-07	6.4780984271194e-08
"a101896"	1.7115710089533e-07	1.21464345508489e-08
"a101999"	4.54917557642851e-07	1.13366722474589e-07
"a102371"	3.01776993683872e-07	6.07321727542444e-08
"a102544"	4.45909289174676e-07	7.69274188220429e-08
"a102642"	1.08099221618103e-07	3.64393036525466e-09
"a102825"	3.2429766485431e-07	4.45369266864459e-08
"a102901"	2.16198443236207e-07	2.02440575847481e-08
"a103028"	1.80165369363506e-07	2.02440575847481e-08
"a103352"	3.42314201790661e-07	1.25513157025438e-07
"a103365"	2.97272859449784e-07	4.04881151694962e-09
"a103646"	3.15289396386135e-07	4.85857382033955e-08
"a103966"	1.75661235129418e-07	4.04881151694962e-09
"a103983"	1.62148832427155e-07	5.26345497203451e-08
"a104202"	4.05372081067887e-09	3.64393036525466e-09
"a104268"	3.87355544131537e-07	8.90738533728917e-08
"a10430"	9.45868189158404e-08	2.02440575847481e-08
"a104363"	1.80165369363506e-07	1.21464345508489e-07
"a104588"	9.00826846817528e-08	2.02440575847481e-08
"a104592"	1.39628161256717e-07	1.61952460677985e-08
"a104627"	2.88264590981609e-07	4.45369266864459e-08
"a104801"	8.10744162135775e-08	8.09762303389925e-09
"a10525"	1.35124027022629e-07	3.2390492135597e-08
"a105333"	5.35991973856429e-07	1.86245329779683e-07
"a105555"	4.9545476574964e-08	1.61952460677985e-08
"a105617"	2.4772738287482e-07	4.85857382033955e-08
"a105793"	5.40496108090517e-08	1.21464345508489e-08
"a105907"	9.45868189158404e-08	1.21464345508489e-08
"a106025"	5.40496108090517e-08	3.64393036525466e-09
"a106445"	7.20661477454022e-08	9.31226648898413e-08
"a106449"	6.75620135113146e-08	4.04881151694962e-09
"a106580"	5.85537450431393e-07	1.17415533991539e-07
"a10666"	2.70248054045258e-07	3.64393036525466e-08
"a106757"	9.9090953149928e-08	1.21464345508489e-08
"a106999"	9.00826846817528e-08	1.21464345508489e-08
"a107062"	9.77397128797017e-07	5.18247874169552e-07
"a1071"	1.39628161256717e-07	4.85857382033955e-08
"a107303"	2.11694309002119e-07	4.04881151694962e-09
"a107376"	1.93677772065768e-07	8.50250418559421e-08
"a107400"	4.50413423408764e-08	8.09762303389925e-09
"a108075"	9.9090953149928e-08	4.04881151694962e-09
"a108216"	9.45868189158404e-08	4.04881151694962e-08
"a108407"	1.16206663239461e-06	7.5307894215263e-07
"a108484"	1.44132295490804e-07	2.42928691016977e-08
"a108529"	4.54917557642851e-07	1.94342952813582e-07
"a109230"	2.47276969451411e-06	1.65191509891545e-06
"a109320"	1.12603355852191e-07	6.07321727542444e-08
"a109703"	1.62148832427155e-07	3.2390492135597e-08
"a11000"	3.60330738727011e-08	3.64393036525466e-09
"a110055"	8.60289638710739e-07	1.25513157025438e-07
"a110072"	1.48636429724892e-07	5.26345497203451e-08
"a110207"	4.7743822881329e-07	1.70050083711884e-07
"a110245"	5.17975436920078e-07	4.08929963211912e-07
"a110248"	1.84669503597593e-07	8.09762303389925e-09
"a110476"	1.35124027022629e-07	1.21464345508489e-08
"a110572"	3.60330738727011e-08	4.04881151694962e-09
"a110593"	1.95029012335995e-06	1.23488751266964e-06
"a110668"	7.65702819794898e-08	4.04881151694962e-09
"a111021"	3.60330738727011e-07	7.69274188220429e-08
"a111075"	2.02686040533944e-07	4.04881151694962e-08
"a111116"	4.9545476574964e-07	3.56295413491567e-07
"a111257"	6.75620135113146e-08	3.64393036525466e-09
"a111397"	2.70248054045258e-08	4.04881151694962e-09
"a1120"	5.40496108090517e-08	3.64393036525466e-09
"a112019"	2.2971084593847e-07	3.2390492135597e-08
"a112188"	7.98132586280329e-06	5.74931235406847e-06
"a112297"	4.09876215301975e-07	8.09762303389925e-08
"a11233"	2.38719114406645e-07	3.2390492135597e-08
"a112344"	1.98181906299856e-07	8.90738533728917e-08
"a112440"	4.72934094579202e-07	9.7171476406791e-08
"a11248"	2.16198443236207e-07	6.88297957881436e-08
"a112774"	1.48636429724892e-07	8.90738533728917e-08
"a112800"	1.89173637831681e-07	5.26345497203451e-08
"a112901"	7.47686282858548e-07	2.42928691016977e-07
"a113235"	1.17107490086279e-06	4.93955005067854e-07
"a11336"	4.05372081067887e-09	3.64393036525466e-09
"a11342"	4.14380349536063e-07	1.66001272194935e-07
"a113537"	3.87355544131537e-07	1.0931791095764e-07
"a113543"	2.97272859449784e-07	1.13366722474589e-07
"a11402"	9.00826846817528e-08	1.21464345508489e-08
"a114087"	1.34223200175812e-06	4.2917402079666e-07
"a114182"	2.4772738287482e-07	7.69274188220429e-08
"a114435"	3.87355544131537e-07	5.26345497203451e-08
"a114464"	1.84219090174184e-06	8.17859926423824e-07
"a114507"	4.99958899983728e-07	2.42928691016977e-08
"a114630"	3.15289396386135e-08	3.64393036525466e-09
"a114790"	2.43223248640732e-07	4.85857382033955e-08
"a114806"	2.2971084593847e-07	1.29561968542388e-07
"a114966"	1.30619892788542e-07	4.85857382033955e-08
"a115321"	5.63016779260955e-07	1.66001272194935e-07
"a115674"	2.38719114406645e-07	3.64393036525466e-08
"a115886"	3.37810067556573e-07	1.41708403093237e-07
"a116118"	2.2971084593847e-07	2.83416806186474e-08
"a116140"	8.64793772944827e-07	1.86245329779683e-07
"a116150"	5.85537450431393e-08	3.64393036525466e-09
"a116309"	1.08099221618103e-07	3.64393036525466e-09
"a11636"	9.00826846817528e-08	3.64393036525466e-08
"a116454"	1.08099221618103e-07	1.61952460677985e-08
"a116536"	3.87355544131537e-07	2.42928691016977e-08
"a116706"	6.75620135113146e-08	8.09762303389925e-09
"a116976"	2.52231517108908e-07	8.90738533728917e-08
"a117112"	9.77397128797017e-07	4.12978774728862e-07
"a117162"	1.44132295490804e-07	8.09762303389925e-09
"a117354"	1.66652966661243e-07	1.61952460677985e-08
"a117576"	1.62148832427155e-07	4.04881151694962e-09
"a117715"	9.45868189158404e-08	4.45369266864459e-08
"a118024"	1.12603355852191e-07	8.09762303389925e-09
"a118576"	1.06297567924468e-06	3.07709675288171e-07
"a118630"	1.35124027022629e-07	1.21464345508489e-08
"a118846"	1.66652966661243e-07	2.42928691016977e-08
